Combo,Opt Acc.,Conf Range,80% Acc,80% Pur,80% Comp,90% Acc,90% Pur,90% Comp,95% Acc,95% Pur,95% Comp,99% Acc,99% Pur,99% Comp,99.9% Acc,99.9% Pur,99.9% Comp
"(1, 2, 3, 4, 5, 6, 7, 8, 10, 12)",0.9696969696969697,"[0.9789, 0.9998]",0.9090909090909091,0.6875,0.9166666666666666,0.9090909090909091,0.6875,0.9166666666666666,0.9545454545454546,0.8461538461538461,0.9166666666666666,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334
"(0, 1, 2, 3, 4, 5, 8, 9, 10, 11)",0.9545454545454546,"[0.9988, 0.9999]",0.6363636363636364,0.3333333333333333,1.0,0.7121212121212122,0.3870967741935484,1.0,0.7727272727272727,0.4444444444444444,1.0,0.8787878787878788,0.6111111111111112,0.9166666666666666,0.9545454545454546,0.8461538461538461,0.9166666666666666
"(1, 2, 3, 4, 5, 6, 7, 8, 11, 12)",0.9696969696969697,"[0.9995, 1.0]",0.9090909090909091,0.6875,0.9166666666666666,0.9242424242424242,0.7333333333333333,0.9166666666666666,0.9545454545454546,0.8461538461538461,0.9166666666666666,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334
"(1, 2, 3, 4, 5, 6, 8, 9, 10, 11)",0.9696969696969697,"[0.8934000000000001, 0.995]",0.9393939393939394,0.7857142857142857,0.9166666666666666,0.9696969696969697,1.0,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.8787878787878788,1.0,0.3333333333333333
"(1, 2, 3, 4, 5, 6, 8, 9, 10, 12)",0.9393939393939394,"[1.0, 1.0]",0.5151515151515151,0.2619047619047619,0.9166666666666666,0.5454545454545454,0.275,0.9166666666666666,0.5454545454545454,0.275,0.9166666666666666,0.6666666666666666,0.34375,0.9166666666666666,0.7575757575757576,0.4230769230769231,0.9166666666666666
"(1, 2, 3, 4, 5, 6, 8, 9, 11, 12)",0.9696969696969697,"[0.9999, 1.0]",0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334
"(1, 2, 3, 4, 5, 6, 8, 10, 11, 12)",0.9696969696969697,"[0.997, 0.9998]",0.9090909090909091,0.6875,0.9166666666666666,0.9242424242424242,0.7692307692307693,0.8333333333333334,0.9393939393939394,0.8333333333333334,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334
"(1, 2, 3, 4, 5, 7, 8, 9, 10, 11)",0.9696969696969697,"[0.9053, 0.9997]",0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334
"(1, 2, 3, 4, 5, 7, 8, 9, 10, 12)",0.8939393939393939,"[1.0, 1.0]",0.4696969696969697,0.2553191489361702,1.0,0.4696969696969697,0.2553191489361702,1.0,0.48484848484848486,0.2608695652173913,1.0,0.5151515151515151,0.2619047619047619,0.9166666666666666,0.6818181818181818,0.3548387096774194,0.9166666666666666
"(1, 2, 3, 4, 5, 7, 8, 9, 11, 12)",0.8181818181818182,"[0.5001, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(1, 2, 3, 4, 5, 7, 8, 10, 11, 12)",0.9696969696969697,"[0.9994000000000001, 0.9999]",0.9090909090909091,0.6875,0.9166666666666666,0.9242424242424242,0.7333333333333333,0.9166666666666666,0.9393939393939394,0.8333333333333334,0.8333333333333334,0.9393939393939394,0.8333333333333334,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334
"(1, 2, 3, 4, 5, 8, 9, 10, 11, 12)",0.9696969696969697,"[0.9599000000000001, 0.9998]",0.9090909090909091,0.6875,0.9166666666666666,0.9242424242424242,0.7692307692307693,0.8333333333333334,0.9393939393939394,0.8333333333333334,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334
"(0, 1, 2, 3, 4, 5, 8, 9, 10, 12)",0.8181818181818182,"[0.5001, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(1, 2, 3, 4, 6, 7, 8, 9, 10, 11)",0.8181818181818182,"[0.5001, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(1, 2, 3, 4, 6, 7, 8, 9, 10, 12)",0.9545454545454546,"[0.9976, 1.0]",0.7727272727272727,0.44,0.9166666666666666,0.803030303030303,0.4782608695652174,0.9166666666666666,0.8333333333333334,0.5238095238095238,0.9166666666666666,0.9090909090909091,0.6875,0.9166666666666666,0.9393939393939394,0.8333333333333334,0.8333333333333334
"(1, 2, 3, 4, 6, 7, 8, 9, 11, 12)",0.8181818181818182,"[0.5001, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(1, 2, 3, 4, 6, 7, 8, 10, 11, 12)",0.8181818181818182,"[0.5001, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(1, 2, 3, 4, 6, 8, 9, 10, 11, 12)",0.9696969696969697,"[0.9967, 1.0]",0.9242424242424242,0.7333333333333333,0.9166666666666666,0.9090909090909091,0.7142857142857143,0.8333333333333334,0.9242424242424242,0.7692307692307693,0.8333333333333334,0.9393939393939394,0.8333333333333334,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334
"(1, 2, 3, 4, 7, 8, 9, 10, 11, 12)",0.9696969696969697,"[0.9996, 1.0]",0.9090909090909091,0.6875,0.9166666666666666,0.9242424242424242,0.7333333333333333,0.9166666666666666,0.9242424242424242,0.7333333333333333,0.9166666666666666,0.9393939393939394,0.8333333333333334,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334
"(1, 2, 3, 5, 6, 7, 8, 9, 10, 11)",0.9696969696969697,"[0.6764, 0.9972000000000001]",0.9696969696969697,1.0,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.9242424242424242,1.0,0.5833333333333334
"(1, 2, 3, 5, 6, 7, 8, 9, 10, 12)",0.9545454545454546,"[0.9994000000000001, 0.9994000000000001]",0.7575757575757576,0.42857142857142855,1.0,0.8333333333333334,0.5217391304347826,1.0,0.8636363636363636,0.5789473684210527,0.9166666666666666,0.9090909090909091,0.6875,0.9166666666666666,0.9393939393939394,0.8333333333333334,0.8333333333333334
"(1, 2, 3, 5, 6, 7, 8, 9, 11, 12)",0.9696969696969697,"[1.0, 1.0]",0.9393939393939394,0.8333333333333334,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334
"(1, 2, 3, 5, 6, 7, 8, 10, 11, 12)",0.9696969696969697,"[0.9993000000000001, 0.9999]",0.9090909090909091,0.6875,0.9166666666666666,0.9090909090909091,0.6875,0.9166666666666666,0.9393939393939394,0.7857142857142857,0.9166666666666666,0.9393939393939394,0.8333333333333334,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334
"(0, 1, 2, 3, 4, 5, 8, 9, 11, 12)",0.7575757575757576,"[1.0, 1.0]",0.3939393939393939,0.23076923076923078,1.0,0.4090909090909091,0.23529411764705882,1.0,0.4393939393939394,0.24489795918367346,1.0,0.48484848484848486,0.2608695652173913,1.0,0.5454545454545454,0.2857142857142857,1.0
"(1, 2, 3, 5, 6, 8, 9, 10, 11, 12)",0.9696969696969697,"[0.9989, 1.0]",0.9090909090909091,0.6875,0.9166666666666666,0.9090909090909091,0.6875,0.9166666666666666,0.9090909090909091,0.6875,0.9166666666666666,0.9242424242424242,0.7692307692307693,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334
"(1, 2, 3, 5, 7, 8, 9, 10, 11, 12)",0.9696969696969697,"[0.9423, 0.999]",0.9393939393939394,0.7857142857142857,0.9166666666666666,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334
"(1, 2, 3, 6, 7, 8, 9, 10, 11, 12)",0.9545454545454546,"[1.0, 1.0]",0.8636363636363636,0.5789473684210527,0.9166666666666666,0.8636363636363636,0.5789473684210527,0.9166666666666666,0.8636363636363636,0.5789473684210527,0.9166666666666666,0.8787878787878788,0.6111111111111112,0.9166666666666666,0.8939393939393939,0.6470588235294118,0.9166666666666666
"(1, 2, 4, 5, 6, 7, 8, 9, 10, 11)",0.9696969696969697,"[0.2751, 0.5]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(1, 2, 4, 5, 6, 7, 8, 9, 10, 12)",0.9242424242424242,"[1.0, 1.0]",0.5606060606060606,0.2926829268292683,1.0,0.6212121212121212,0.32432432432432434,1.0,0.6666666666666666,0.35294117647058826,1.0,0.6818181818181818,0.3548387096774194,0.9166666666666666,0.7727272727272727,0.44,0.9166666666666666
"(1, 2, 4, 5, 6, 7, 8, 9, 11, 12)",0.9696969696969697,"[0.6808000000000001, 0.9999]",0.9696969696969697,1.0,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334
"(1, 2, 4, 5, 6, 7, 8, 10, 11, 12)",0.8181818181818182,"[0.5001, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(1, 2, 4, 5, 6, 8, 9, 10, 11, 12)",0.9696969696969697,"[1.0, 1.0]",0.9090909090909091,0.6875,0.9166666666666666,0.9090909090909091,0.6875,0.9166666666666666,0.9090909090909091,0.6875,0.9166666666666666,0.9393939393939394,0.7857142857142857,0.9166666666666666,0.9393939393939394,0.8333333333333334,0.8333333333333334
"(1, 2, 4, 5, 7, 8, 9, 10, 11, 12)",0.9696969696969697,"[0.8637, 0.9936]",0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.9090909090909091,1.0,0.5
"(1, 2, 4, 6, 7, 8, 9, 10, 11, 12)",0.9696969696969697,"[0.9984000000000001, 1.0]",0.9242424242424242,0.7333333333333333,0.9166666666666666,0.9545454545454546,0.8461538461538461,0.9166666666666666,0.9393939393939394,0.8333333333333334,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334
"(0, 1, 2, 3, 4, 5, 8, 10, 11, 12)",0.9393939393939394,"[0.9999, 1.0]",0.5,0.26666666666666666,1.0,0.6212121212121212,0.32432432432432434,1.0,0.6666666666666666,0.35294117647058826,1.0,0.803030303030303,0.48,1.0,0.8939393939393939,0.6470588235294118,0.9166666666666666
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10)",0.8181818181818182,"[0.5001, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(1, 2, 5, 6, 7, 8, 9, 10, 11, 12)",0.9696969696969697,"[0.9977, 0.9998]",0.9242424242424242,0.7333333333333333,0.9166666666666666,0.9393939393939394,0.7857142857142857,0.9166666666666666,0.9545454545454546,0.8461538461538461,0.9166666666666666,0.9545454545454546,0.8461538461538461,0.9166666666666666,0.9696969696969697,0.9166666666666666,0.9166666666666666
"(1, 3, 4, 5, 6, 7, 8, 9, 10, 11)",0.8181818181818182,"[0.5001, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(1, 3, 4, 5, 6, 7, 8, 9, 10, 12)",0.9545454545454546,"[1.0, 1.0]",0.696969696969697,0.36666666666666664,0.9166666666666666,0.7424242424242424,0.4074074074074074,0.9166666666666666,0.7424242424242424,0.4074074074074074,0.9166666666666666,0.7878787878787878,0.4583333333333333,0.9166666666666666,0.8636363636363636,0.5789473684210527,0.9166666666666666
"(1, 3, 4, 5, 6, 7, 8, 9, 11, 12)",0.9696969696969697,"[0.9992000000000001, 1.0]",0.9090909090909091,0.7142857142857143,0.8333333333333334,0.9242424242424242,0.7692307692307693,0.8333333333333334,0.9393939393939394,0.8333333333333334,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334
"(1, 3, 4, 5, 6, 7, 8, 10, 11, 12)",0.9696969696969697,"[0.9049, 0.993]",0.9393939393939394,0.8333333333333334,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.8787878787878788,1.0,0.3333333333333333
"(1, 3, 4, 5, 6, 8, 9, 10, 11, 12)",0.9696969696969697,"[0.9947, 0.9999]",0.9393939393939394,0.8333333333333334,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334
"(1, 3, 4, 5, 7, 8, 9, 10, 11, 12)",0.8181818181818182,"[0.5001, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(1, 3, 4, 6, 7, 8, 9, 10, 11, 12)",0.9696969696969697,"[1.0, 1.0]",0.9090909090909091,0.6875,0.9166666666666666,0.9090909090909091,0.6875,0.9166666666666666,0.9090909090909091,0.6875,0.9166666666666666,0.9242424242424242,0.7333333333333333,0.9166666666666666,0.9090909090909091,0.7142857142857143,0.8333333333333334
"(1, 3, 5, 6, 7, 8, 9, 10, 11, 12)",0.9242424242424242,"[1.0, 1.0]",0.8484848484848485,0.5625,0.75,0.8484848484848485,0.5625,0.75,0.8484848484848485,0.5625,0.75,0.8484848484848485,0.5625,0.75,0.8636363636363636,0.6,0.75
"(1, 4, 5, 6, 7, 8, 9, 10, 11, 12)",0.8181818181818182,"[0.5001, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10)",0.8939393939393939,"[1.0, 1.0]",0.2878787878787879,0.2033898305084746,1.0,0.2878787878787879,0.2033898305084746,1.0,0.30303030303030304,0.20689655172413793,1.0,0.3787878787878788,0.22641509433962265,1.0,0.5606060606060606,0.2926829268292683,1.0
"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",0.9696969696969697,"[0.8455, 1.0]",0.9545454545454546,0.8461538461538461,0.9166666666666666,0.9696969696969697,0.9166666666666666,0.9166666666666666,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334
"(2, 3, 4, 5, 6, 7, 8, 9, 10, 12)",0.9090909090909091,"[1.0, 1.0]",0.5606060606060606,0.2926829268292683,1.0,0.5606060606060606,0.2926829268292683,1.0,0.5757575757575758,0.3,1.0,0.6363636363636364,0.3333333333333333,1.0,0.7727272727272727,0.4444444444444444,1.0
"(2, 3, 4, 5, 6, 7, 8, 9, 11, 12)",0.9696969696969697,"[0.9949, 0.9999]",0.9090909090909091,0.7142857142857143,0.8333333333333334,0.9393939393939394,0.8333333333333334,0.8333333333333334,0.9393939393939394,0.8333333333333334,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334
"(2, 3, 4, 5, 6, 7, 8, 10, 11, 12)",0.9696969696969697,"[0.9991000000000001, 1.0]",0.9393939393939394,0.7857142857142857,0.9166666666666666,0.9393939393939394,0.7857142857142857,0.9166666666666666,0.9393939393939394,0.8333333333333334,0.8333333333333334,0.9393939393939394,0.8333333333333334,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334
"(2, 3, 4, 5, 6, 8, 9, 10, 11, 12)",0.9696969696969697,"[0.9993000000000001, 1.0]",0.8939393939393939,0.6470588235294118,0.9166666666666666,0.9090909090909091,0.6875,0.9166666666666666,0.9242424242424242,0.7333333333333333,0.9166666666666666,0.9090909090909091,0.7142857142857143,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334
"(2, 3, 4, 5, 7, 8, 9, 10, 11, 12)",0.8181818181818182,"[0.5001, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(2, 3, 4, 6, 7, 8, 9, 10, 11, 12)",0.9696969696969697,"[0.9997, 1.0]",0.9393939393939394,0.7857142857142857,0.9166666666666666,0.9393939393939394,0.8333333333333334,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334
"(2, 3, 5, 6, 7, 8, 9, 10, 11, 12)",0.9696969696969697,"[0.9978, 1.0]",0.9090909090909091,0.6875,0.9166666666666666,0.9242424242424242,0.7333333333333333,0.9166666666666666,0.9242424242424242,0.7333333333333333,0.9166666666666666,0.9393939393939394,0.7857142857142857,0.9166666666666666,0.9545454545454546,0.9090909090909091,0.8333333333333334
"(2, 4, 5, 6, 7, 8, 9, 10, 11, 12)",0.9696969696969697,"[0.9028, 0.9673]",0.9393939393939394,0.8333333333333334,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.9090909090909091,1.0,0.5,0.8636363636363636,1.0,0.25
"(3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",0.9848484848484849,"[0.889, 0.899]",0.9242424242424242,0.7333333333333333,0.9166666666666666,0.9696969696969697,1.0,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334,0.9696969696969697,1.0,0.8333333333333334
"(0, 1, 2, 3, 4, 6, 7, 8, 9, 11)",0.8636363636363636,"[1.0, 1.0]",0.5,0.26666666666666666,1.0,0.5757575757575758,0.3,1.0,0.5909090909090909,0.3076923076923077,1.0,0.6666666666666666,0.35294117647058826,1.0,0.7272727272727273,0.4,1.0
"(0, 1, 2, 3, 4, 6, 7, 8, 9, 12)",0.4090909090909091,"[1.0, 1.0]",0.18181818181818182,0.18181818181818182,1.0,0.21212121212121213,0.1875,1.0,0.24242424242424243,0.1935483870967742,1.0,0.2727272727272727,0.2,1.0,0.2727272727272727,0.2,1.0
"(0, 1, 2, 3, 4, 6, 7, 8, 10, 11)",0.9242424242424242,"[1.0, 1.0]",0.5303030303030303,0.27906976744186046,1.0,0.5909090909090909,0.3076923076923077,1.0,0.6212121212121212,0.32432432432432434,1.0,0.696969696969697,0.375,1.0,0.7727272727272727,0.4444444444444444,1.0
"(0, 1, 2, 3, 4, 6, 7, 8, 10, 12)",0.4696969696969697,"[1.0, 1.0]",0.2878787878787879,0.2033898305084746,1.0,0.2878787878787879,0.2033898305084746,1.0,0.30303030303030304,0.20689655172413793,1.0,0.3181818181818182,0.21052631578947367,1.0,0.3484848484848485,0.21818181818181817,1.0
"(0, 1, 2, 3, 4, 6, 7, 8, 11, 12)",0.8787878787878788,"[1.0, 1.0]",0.48484848484848486,0.2608695652173913,1.0,0.5151515151515151,0.2727272727272727,1.0,0.5454545454545454,0.2857142857142857,1.0,0.6212121212121212,0.32432432432432434,1.0,0.696969696969697,0.375,1.0
"(0, 1, 2, 3, 4, 6, 8, 9, 10, 11)",0.8636363636363636,"[1.0, 1.0]",0.5454545454545454,0.2857142857142857,1.0,0.5757575757575758,0.3,1.0,0.6060606060606061,0.3157894736842105,1.0,0.6818181818181818,0.36363636363636365,1.0,0.7727272727272727,0.4444444444444444,1.0
"(0, 1, 2, 3, 4, 6, 8, 9, 10, 12)",0.9545454545454546,"[0.9459000000000001, 0.9826]",0.8939393939393939,0.6470588235294118,0.9166666666666666,0.9393939393939394,0.7857142857142857,0.9166666666666666,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9393939393939394,0.9,0.75,0.9090909090909091,1.0,0.5
"(0, 1, 2, 3, 4, 6, 8, 9, 11, 12)",0.9545454545454546,"[1.0, 1.0]",0.4090909090909091,0.23529411764705882,1.0,0.45454545454545453,0.25,1.0,0.5,0.26666666666666666,1.0,0.7272727272727273,0.4,1.0,0.8939393939393939,0.6470588235294118,0.9166666666666666
"(0, 1, 2, 3, 4, 6, 8, 10, 11, 12)",0.9242424242424242,"[1.0, 1.0]",0.5,0.26666666666666666,1.0,0.5454545454545454,0.2857142857142857,1.0,0.6515151515151515,0.34285714285714286,1.0,0.7121212121212122,0.3870967741935484,1.0,0.8181818181818182,0.5,0.9166666666666666
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 11)",0.9696969696969697,"[0.9987, 0.9989]",0.7575757575757576,0.42857142857142855,1.0,0.803030303030303,0.48,1.0,0.8484848484848485,0.55,0.9166666666666666,0.8787878787878788,0.6111111111111112,0.9166666666666666,0.9545454545454546,0.9090909090909091,0.8333333333333334
"(0, 1, 2, 3, 4, 7, 8, 9, 10, 11)",0.9545454545454546,"[1.0, 1.0]",0.5151515151515151,0.2727272727272727,1.0,0.5909090909090909,0.3076923076923077,1.0,0.6363636363636364,0.3333333333333333,1.0,0.7272727272727273,0.39285714285714285,0.9166666666666666,0.8484848484848485,0.55,0.9166666666666666
"(0, 1, 2, 3, 4, 7, 8, 9, 10, 12)",0.9242424242424242,"[0.9995, 0.9996]",0.7878787878787878,0.45,0.75,0.803030303030303,0.47368421052631576,0.75,0.8636363636363636,0.6,0.75,0.8939393939393939,0.7777777777777778,0.5833333333333334,0.9090909090909091,0.875,0.5833333333333334
"(0, 1, 2, 3, 4, 7, 8, 9, 11, 12)",0.8181818181818182,"[0.5001, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(0, 1, 2, 3, 4, 7, 8, 10, 11, 12)",0.8181818181818182,"[0.5001, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(0, 1, 2, 3, 4, 8, 9, 10, 11, 12)",0.9090909090909091,"[1.0, 1.0]",0.45454545454545453,0.25,1.0,0.5303030303030303,0.27906976744186046,1.0,0.5909090909090909,0.3076923076923077,1.0,0.6515151515151515,0.34285714285714286,1.0,0.803030303030303,0.48,1.0
"(0, 1, 2, 3, 5, 6, 7, 8, 9, 10)",0.8181818181818182,"[0.5165000000000001, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(0, 1, 2, 3, 5, 6, 7, 8, 9, 11)",0.8636363636363636,"[0.4302, 0.5]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(0, 1, 2, 3, 5, 6, 7, 8, 9, 12)",0.30303030303030304,"[1.0, 1.0]",0.18181818181818182,0.18181818181818182,1.0,0.18181818181818182,0.18181818181818182,1.0,0.19696969696969696,0.18461538461538463,1.0,0.19696969696969696,0.18461538461538463,1.0,0.21212121212121213,0.1875,1.0
"(0, 1, 2, 3, 5, 6, 7, 8, 10, 11)",0.9393939393939394,"[1.0, 1.0]",0.6363636363636364,0.3333333333333333,1.0,0.6818181818181818,0.36363636363636365,1.0,0.7121212121212122,0.3870967741935484,1.0,0.7878787878787878,0.4583333333333333,0.9166666666666666,0.8484848484848485,0.55,0.9166666666666666
"(0, 1, 2, 3, 5, 6, 7, 8, 10, 12)",0.9545454545454546,"[0.7375, 0.9331]",0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9545454545454546,1.0,0.75,0.9090909090909091,1.0,0.5,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 12)",0.42424242424242425,"[1.0, 1.0]",0.21212121212121213,0.1875,1.0,0.22727272727272727,0.19047619047619047,1.0,0.25757575757575757,0.19672131147540983,1.0,0.25757575757575757,0.19672131147540983,1.0,0.30303030303030304,0.20689655172413793,1.0
"(0, 1, 2, 3, 5, 6, 7, 8, 11, 12)",0.8636363636363636,"[0.2722, 0.5]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(0, 1, 2, 3, 5, 6, 8, 9, 10, 11)",0.9242424242424242,"[1.0, 1.0]",0.5757575757575758,0.3,1.0,0.6363636363636364,0.3333333333333333,1.0,0.6818181818181818,0.36363636363636365,1.0,0.7424242424242424,0.41379310344827586,1.0,0.7727272727272727,0.44,0.9166666666666666
"(0, 1, 2, 3, 5, 6, 8, 9, 10, 12)",0.9696969696969697,"[0.9521000000000001, 0.9577]",0.9242424242424242,0.7333333333333333,0.9166666666666666,0.9393939393939394,0.8333333333333334,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9393939393939394,1.0,0.6666666666666666,0.8787878787878788,1.0,0.3333333333333333
"(0, 1, 2, 3, 5, 6, 8, 9, 11, 12)",0.8636363636363636,"[1.0, 1.0]",0.3181818181818182,0.21052631578947367,1.0,0.3181818181818182,0.21052631578947367,1.0,0.3333333333333333,0.21428571428571427,1.0,0.36363636363636365,0.2222222222222222,1.0,0.4696969696969697,0.2553191489361702,1.0
"(0, 1, 2, 3, 5, 6, 8, 10, 11, 12)",0.9545454545454546,"[0.9938, 0.9976]",0.7424242424242424,0.41379310344827586,1.0,0.8333333333333334,0.5217391304347826,1.0,0.8636363636363636,0.5789473684210527,0.9166666666666666,0.9242424242424242,0.7692307692307693,0.8333333333333334,0.9393939393939394,0.9,0.75
