Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score,Metric Value
"(3, 4, 5, 6, 8, 9, 12)",,,,,,,
"(3, 4, 5, 6, 8, 10, 11)",,,,,,,
"(3, 4, 5, 6, 8, 10, 12)",,,,,,,
"(3, 4, 5, 6, 8, 11, 12)",,,,,,,
"(3, 4, 5, 7, 8, 9, 10)",,,,,,,
"(3, 4, 5, 7, 8, 9, 11)",,,,,,,
"(3, 4, 5, 7, 8, 9, 12)",,,,,,,
"(3, 4, 5, 7, 8, 10, 11)",,,,,,,
"(3, 4, 5, 7, 8, 10, 12)",,,,,,,
"(3, 4, 5, 7, 8, 11, 12)",,,,,,,
"(3, 4, 5, 8, 9, 10, 11)",,,,,,,
"(3, 4, 5, 8, 9, 10, 12)",,,,,,,
"(3, 4, 5, 8, 9, 11, 12)",,,,,,,
"(3, 4, 5, 8, 10, 11, 12)",,,,,,,
"(3, 4, 6, 7, 8, 9, 10)",,,,,,,
"(3, 4, 6, 7, 8, 9, 11)",,,,,,,
"(3, 4, 6, 7, 8, 9, 12)",,,,,,,
"(3, 4, 6, 7, 8, 10, 11)",,,,,,,
"(3, 4, 6, 7, 8, 10, 12)",,,,,,,
"(3, 4, 6, 7, 8, 11, 12)",,,,,,,
"(3, 4, 6, 8, 9, 10, 11)",,,,,,,
"(3, 4, 6, 8, 9, 10, 12)",,,,,,,
"(3, 4, 6, 8, 9, 11, 12)",,,,,,,
"(3, 4, 6, 8, 10, 11, 12)",,,,,,,
"(3, 4, 7, 8, 9, 10, 11)",,,,,,,
"(3, 4, 7, 8, 9, 10, 12)",,,,,,,
"(3, 4, 7, 8, 9, 11, 12)",,,,,,,
"(3, 4, 7, 8, 10, 11, 12)",,,,,,,
"(3, 4, 8, 9, 10, 11, 12)",,,,,,,
"(3, 5, 6, 7, 8, 9, 10)",,,,,,,
"(3, 5, 6, 7, 8, 9, 11)",,,,,,,
"(3, 5, 6, 7, 8, 9, 12)",,,,,,,
"(3, 5, 6, 7, 8, 10, 11)",,,,,,,
"(3, 5, 6, 7, 8, 10, 12)",,,,,,,
"(3, 5, 6, 7, 8, 11, 12)",,,,,,,
"(3, 5, 6, 8, 9, 10, 11)",,,,,,,
"(3, 5, 6, 8, 9, 10, 12)",,,,,,,
"(3, 5, 6, 8, 9, 11, 12)",,,,,,,
"(3, 5, 6, 8, 10, 11, 12)",,,,,,,
"(3, 5, 7, 8, 9, 10, 11)",,,,,,,
"(3, 5, 7, 8, 9, 10, 12)",,,,,,,
"(3, 5, 7, 8, 9, 11, 12)",,,,,,,
"(3, 5, 7, 8, 10, 11, 12)",,,,,,,
"(3, 5, 8, 9, 10, 11, 12)",,,,,,,
"(3, 6, 7, 8, 9, 10, 11)",,,,,,,
"(3, 6, 7, 8, 9, 10, 12)",,,,,,,
"(3, 6, 7, 8, 9, 11, 12)",,,,,,,
"(3, 6, 7, 8, 10, 11, 12)",,,,,,,
"(3, 6, 8, 9, 10, 11, 12)",,,,,,,
"(3, 7, 8, 9, 10, 11, 12)",,,,,,,
"(4, 5, 6, 7, 8, 9, 10)",,,,,,,
"(4, 5, 6, 7, 8, 9, 11)",,,,,,,
"(4, 5, 6, 7, 8, 9, 12)",,,,,,,
"(4, 5, 6, 7, 8, 10, 11)",,,,,,,
"(4, 5, 6, 7, 8, 10, 12)",,,,,,,
"(4, 5, 6, 7, 8, 11, 12)",,,,,,,
"(4, 5, 6, 8, 9, 10, 11)",,,,,,,
"(4, 5, 6, 8, 9, 10, 12)",,,,,,,
"(4, 5, 6, 8, 9, 11, 12)",,,,,,,
"(4, 5, 6, 8, 10, 11, 12)",,,,,,,
"(4, 5, 7, 8, 9, 10, 11)",,,,,,,
"(4, 5, 7, 8, 9, 10, 12)",,,,,,,
"(4, 5, 7, 8, 9, 11, 12)",,,,,,,
"(4, 5, 7, 8, 10, 11, 12)",,,,,,,
"(4, 5, 8, 9, 10, 11, 12)",,,,,,,
"(4, 6, 7, 8, 9, 10, 11)",,,,,,,
"(4, 6, 7, 8, 9, 10, 12)",,,,,,,
"(4, 6, 7, 8, 9, 11, 12)",,,,,,,
"(4, 6, 7, 8, 10, 11, 12)",,,,,,,
"(4, 6, 8, 9, 10, 11, 12)",,,,,,,
"(4, 7, 8, 9, 10, 11, 12)",,,,,,,
"(5, 6, 7, 8, 9, 10, 11)",,,,,,,
"(5, 6, 7, 8, 9, 10, 12)",,,,,,,
"(5, 6, 7, 8, 9, 11, 12)",,,,,,,
"(5, 6, 7, 8, 10, 11, 12)",,,,,,,
"(5, 6, 8, 9, 10, 11, 12)",,,,,,,
"(5, 7, 8, 9, 10, 11, 12)",,,,,,,
"(6, 7, 8, 9, 10, 11, 12)",,,,,,,
